mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/20/20-6:04,71.6,71.6,51,0,94.45,4.21
3/20/20-6:34,71.6,71.6,15,0,27.48,4.21
3/20/20-7:04,70.7,70.7,31,0,57.08,4.21
3/20/20-7:34,68.9,70.7,15,0,27.77,4.21
3/20/20-8:04,68.9,70.7,54,0,100.3,4.21
3/20/20-8:34,68.9,70.7,56,0,104.1,4.21
3/20/20-9:04,68.9,70.7,57,0,105.2,4.21
3/20/20-9:34,68.9,70.7,52,0,96.59,4.21
3/20/20-10:04,71.6,70.7,40,0,74.2,4.21
3/20/20-10:34,72.5,70.7,15,0,27.03,4.21
3/20/20-11:04,77,70.7,15,0,28.12,4.21
3/20/20-11:34,72.5,70.7,54,0,100.3,4.21
3/20/20-12:04,72.5,70.7,15,0,27.77,4.21
3/20/20-12:34,71.6,70.7,15,0,28.5,4.21
3/20/20-13:04,70.7,70.7,15,0,28.5,4.21
3/20/20-13:34,71.6,70.7,14,0,25.91,4.21
3/20/20-14:04,72.5,70.7,13,0,24.06,4.21
3/20/20-14:34,71.6,70.7,13,0,23.69,4.21
3/20/20-15:04,73.4,70.7,13,0,23.3,4.21
3/20/20-15:34,72.5,70.7,12,0,22.95,4.21
3/20/20-16:04,75.2,70.7,12,0,22.95,4.21
3/20/20-16:34,72.5,70.7,12,0,22.19,4.21
3/20/20-17:04,70.7,70.7,12,0,22.19,4.21
3/20/20-17:34,70.7,70.7,12,0,22.19,4.21
3/20/20-18:04,69.8,70.7,12,0,22.19,4.21
3/20/20-18:34,69.8,70.7,12,0,21.84,4.21
3/20/20-19:04,68.9,70.7,11,0,21.11,4.21
3/20/20-19:34,68.9,70.7,12,0,21.46,4.21
3/20/20-20:04,68,70.7,12,0,21.46,4.21
3/20/20-20:34,68,70.7,12,0,21.46,4.21
3/20/20-21:04,68,70.7,12,0,21.46,4.21
3/20/20-21:34,68,70.7,12,0,21.84,4.21
3/20/20-22:04,68,70.7,12,0,21.84,4.21
