mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
4/10/20-14:24,80.60,73.40,4.00,0.00,8.05,4.18
4/10/20-14:54,80.60,73.40,4.00,0.00,8.05,4.17
4/10/20-15:24,83.30,73.40,5.00,0.00,9.49,4.18
4/10/20-15:54,82.40,73.40,5.00,0.00,9.49,4.17
4/10/20-16:24,81.50,73.40,5.00,0.00,9.49,4.17
4/10/20-16:54,80.60,73.40,5.00,0.00,9.14,4.18
4/10/20-17:24,79.70,73.40,5.00,0.00,9.14,4.18
4/10/20-17:54,77.90,73.40,5.00,0.00,8.77,4.18
4/10/20-18:24,76.10,72.50,5.00,0.00,8.49,4.18
4/10/20-18:54,75.20,72.50,4.00,0.00,8.13,4.17
4/10/20-19:24,73.40,72.50,4.00,0.00,7.76,4.17
4/10/20-19:54,72.50,71.60,4.00,0.00,7.46,4.16
4/10/20-20:24,71.60,71.60,4.00,0.00,7.46,4.17
4/10/20-20:54,71.60,71.60,4.00,0.00,7.46,4.17
4/10/20-21:24,71.60,71.60,4.00,0.00,7.10,4.17
4/10/20-21:54,71.60,71.60,4.00,0.00,7.10,4.17
4/10/20-22:24,70.70,71.60,4.00,0.00,7.10,4.17
4/10/20-22:54,70.70,71.60,4.00,0.00,7.10,4.16
4/10/20-23:24,69.80,70.70,4.00,0.00,7.17,4.16
4/10/20-23:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-0:24,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-0:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-1:24,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-1:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-2:24,69.80,70.70,4.00,0.00,7.17,4.15
4/11/20-2:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-3:24,69.80,70.70,4.00,0.00,7.53,4.16
4/11/20-3:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-4:24,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-4:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-5:24,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-5:54,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-6:24,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-6:54,69.80,70.70,4.00,0.00,7.53,4.14
4/11/20-7:24,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-7:54,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-8:24,70.70,70.70,4.00,0.00,7.53,4.14
4/11/20-8:54,71.60,70.70,4.00,0.00,7.92,4.14
4/11/20-9:24,71.60,70.70,4.00,0.00,7.53,4.15
4/11/20-9:54,72.50,71.60,4.00,0.00,7.83,4.15
4/11/20-10:24,73.40,71.60,4.00,0.00,7.83,4.15
4/11/20-10:54,74.30,71.60,4.00,0.00,7.83,4.15
4/11/20-11:24,76.10,71.60,4.00,0.00,8.21,4.16
4/11/20-11:54,79.70,71.60,5.00,0.00,10.07,4.16
4/11/20-12:24,81.50,72.50,5.00,0.00,9.59,4.18
4/11/20-12:54,80.60,72.50,5.00,0.00,9.96,4.17
4/11/20-13:24,81.50,72.50,6.00,0.00,10.32,4.17
4/11/20-13:54,77.90,72.50,5.00,0.00,9.59,4.18
4/11/20-14:24,77.00,72.50,5.00,0.00,9.59,4.18
4/11/20-14:54,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-15:24,75.20,72.50,5.00,0.00,9.59,4.18
4/11/20-15:54,75.20,72.50,5.00,0.00,9.24,4.17
4/11/20-16:24,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-16:54,76.10,72.50,5.00,0.00,9.59,4.16
4/11/20-17:24,75.20,72.50,5.00,0.00,9.59,4.19
4/11/20-17:54,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-18:24,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-18:54,75.20,72.50,5.00,0.00,9.59,4.18
4/11/20-19:24,74.30,72.50,5.00,0.00,9.59,4.18
4/11/20-19:54,73.40,72.50,5.00,0.00,9.23,4.18
4/11/20-20:24,73.40,72.50,5.00,0.00,9.23,4.18
4/11/20-20:54,72.50,71.60,5.00,0.00,9.33,4.18
4/11/20-21:24,72.50,71.60,5.00,0.00,8.95,4.17
4/11/20-21:54,72.50,71.60,5.00,0.00,9.33,4.17
4/11/20-22:24,72.50,71.60,5.00,0.00,9.33,4.16
4/11/20-22:54,72.50,71.60,5.00,0.00,9.33,4.16
4/11/20-23:24,72.50,71.60,5.00,0.00,9.69,4.17
4/11/20-23:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-0:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-0:54,72.50,71.60,5.00,0.00,9.69,4.14
4/12/20-1:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-1:54,72.50,71.60,5.00,0.00,9.33,4.16
4/12/20-2:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-2:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-3:24,72.50,71.60,5.00,0.00,10.07,4.16
4/12/20-3:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-4:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-4:54,72.50,71.60,5.00,0.00,9.33,4.16
4/12/20-5:24,72.50,71.60,5.00,0.00,9.69,4.15
4/12/20-5:54,71.60,71.60,5.00,0.00,9.69,4.13
4/12/20-6:24,71.60,71.60,5.00,0.00,9.33,4.15
4/12/20-6:54,71.60,71.60,5.00,0.00,9.33,4.15
4/12/20-7:24,71.60,71.60,5.00,0.00,9.33,4.16
4/12/20-7:54,72.50,71.60,5.00,0.00,10.07,4.14
4/12/20-8:24,73.40,71.60,5.00,0.00,10.07,4.15
4/12/20-8:54,74.30,71.60,5.00,0.00,10.07,4.15
4/12/20-9:24,76.10,71.60,6.00,0.00,11.19,4.15
4/12/20-9:54,86.90,72.50,6.00,0.00,11.80,4.16
4/12/20-10:24,94.10,73.40,6.00,0.00,11.70,4.18
4/12/20-10:54,97.70,74.30,7.00,0.00,13.01,4.19
4/12/20-11:24,101.30,76.10,7.00,0.00,13.47,4.19
